INFO 2026-04-09 01:37:36,699 autoreload Watching for file changes with StatReloader
DEBUG 2026-04-09 01:37:40,368 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\db\models\options.py first seen with mtime 1775678472.1366706
DEBUG 2026-04-09 01:37:40,368 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\enum.py first seen with mtime 1775658224.9875388
DEBUG 2026-04-09 01:37:40,368 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\81d243bd2c585b0f4821__mypyc.cp314-win_amd64.pyd first seen with mtime 1775678460.1341553
DEBUG 2026-04-09 01:37:40,368 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\django\db\models\fields\files.py first seen with mtime 1775678472.1870635
DEBUG 2026-04-09 01:37:40,368 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\urllib3\http2\__init__.py first seen with mtime 1775678456.6845844
DEBUG 2026-04-09 01:37:40,368 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\sqlparse\filters\tokens.py first seen with mtime 1775678457.8526247
DEBUG 2026-04-09 01:37:40,369 autoreload File D:\Projects\blinkit-logistics-system\backend\apps\trips\models.py first seen with mtime 1775677995.7223103
DEBUG 2026-04-09 01:37:40,369 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\importlib\abc.py first seen with mtime 1775658225.3364604
DEBUG 2026-04-09 01:37:40,369 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\unittest\result.py first seen with mtime 1775658225.4342458
DEBUG 2026-04-09 01:37:40,369 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\asyncio\base_tasks.py first seen with mtime 1775658225.1056643
DEBUG 2026-04-09 01:37:40,369 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\dotenv\variables.py first seen with mtime 1775678458.1665535
DEBUG 2026-04-09 01:37:40,369 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\rest_framework\metadata.py first seen with mtime 1775678478.989629
DEBUG 2026-04-09 01:37:40,369 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\struct.py first seen with mtime 1775658225.0558257
DEBUG 2026-04-09 01:37:40,369 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\tokenize.py first seen with mtime 1775658225.0662997
DEBUG 2026-04-09 01:37:40,370 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\site-packages\rest_framework\__init__.py first seen with mtime 1775678478.97935
DEBUG 2026-04-09 01:37:40,370 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\_markupbase.py first seen with mtime 1775658225.0888033
DEBUG 2026-04-09 01:37:40,370 autoreload File C:\Users\dell\AppData\Local\Python\pythoncore-3.14-64\Lib\_weakrefset.py first seen with mtime 1775658225.1000934
